title,task,cost,date,views,answers,status
"Наполнение сайта фото, описание...",Необходимо заполнять карточки объектов на сайте!,Договорная,2020-02-17,15,3,Для Бизнес-аккаунтов
Торгово-развлекательный комплекс в Катаре к ЧМ по футболу,"Ищу человека который может сделать качественую визуализацию для презентации будущего здание ТРК в Катаре. В наличии уже имеются несколько 3D рисунков, так же есть в…",Договорная,2020-02-17,6,4,Заключение договора
обновить сайт на Joomla,"Есть древний и примитивный сайт на второй Джумле, нужно обновить контент, заменить фотографии. Может найдется умелец, который еще не забыл ""старушку""? Рас…",Договорная,2020-02-17,4,3,Безопасная Сделка
Разработка backend в крутой команде. Оплата обсуждается предметно и выгодно для обеих сторон,"Нужен грамотный разработчик Back-end с опытом, способный решать трудные задачи эффективно и без потерь. В кратце нужен маркетплейс, но это очень абстрактно. Также н…",Договорная,2020-02-17,4,1,Для Бизнес-аккаунтов
"Доработка админки сайта в соответствии с ТЗ, перенос информации со старого сайта, интеграция CMS, размещение на хостинге","Делаем редизайн существующего сайта. Требуется доработать/разработать админку существующего сайта в соответствии с новой версткой и ТЗ, и интегрировать в CMS, в том…",Договорная,2020-02-17,12,4,Безопасная Сделка
YouTube парсер текста,"Использование прокси адреса.
Поиск каналов по различным запросам и по вкладке ""похожие""
Проверка на наличие определенного текста на канале. 
Сохранение…",10 000 р.,2020-02-17,24,7,Для Бизнес-аккаунтов
"работа с каталогом сайта,парсинг,дизайн чемоданов по цветам","Примерное тз по сайту 101чемодан.рф

1. добавить цвет к товару. таким образом к товару добавляются предложения. в зависимости от цвета меняются изображения товара…",Договорная,2020-02-17,9,4,Для Бизнес-аккаунтов
"Опытный конструктор, инженер, чертежник, ЕСКД, 3D","Проектирование деталей, узлов, механизмов на базе отдельных элементов и механизмов готовых образцов, создание прототипов",Договорная,2020-02-17,8,5,Для Бизнес-аккаунтов
Заказ товаров через Excel документ,"Есть сайт на ВордПресс и Excel таблица с 2000 товаров без картинок и без описание, только артикул, название, категория и цена. Необходимо, чтобы посетители сайта мо…",1 000 р.,2020-02-17,17,1,Для Бизнес-аккаунтов
Интернет маркетолог,"Мы самый крупный в России интернет-магазин по продаже татуировочного оборудования https://28opt.ru , в связи с расширением отдела, ищем интернет маркетолога.
В мар…",100 000 р.,2020-02-17,18,4,Заключение договора
Специалист Яндекс Карт API для решения задачи,"На сайте реализован функционал меток на сайте. Нужно доработать функционал.
1.	Геолокация работает некорректно, почему-то не определяет местоположение правильно.
…",Договорная,2020-02-17,19,3,Для Бизнес-аккаунтов
Разрабока Landing Page (на основе имеющихся данных по старому сайту),СФЕРА ДЕЯТЕЛЬНОСТИ КОМПАНИИ: Реализация крупных инфраструктурных проектов с применением EPC(M) механизмов в рамках государственно-частного партнерства и других форм…,Договорная,2020-02-17,105,31,Для Бизнес-аккаунтов
Схема этажей загородного дома,Спроектировать схему этажей дома. 2 этажа+мансарда.,Договорная,2020-02-17,35,19,Для Бизнес-аккаунтов
Надо обзвонить базу фермерских хозяйств России. Надо дозвониться ( это важно не с первого раза может получиться) фермеру и узнать какие культуры он будет посеял в этом году и сколько гектар.,Нам надо обзвонить базу фермерских хозяйств России. Надо дозвониться ( это важно не с первого раза может получиться) фермеру и узнать какие культуры он будет посеял…,Договорная,2020-02-17,8,0,Для Бизнес-аккаунтов
Требуется перевести игру с Flash на HTML5 или JavaScript,"Необходимо перевести игру с Flash в игру на HTML5 или JavaScript.

Игра: https://clck.ru/MEBRQ

Исходников нет, только этот swf файл.

Напишите пожалуйста, ес…",Договорная,2020-02-17,20,1,Для Бизнес-аккаунтов
Копирайтинг для лендингов мамочек и беременных,"Необходимо написать текст для товаров тематик (старые ленды):
1. Дородовые бандажи www.neobelt.waistshop.ru/premium
2. Послеродовые / утягивающие корсеты www.shan…",2 000 р.,2020-02-17,35,8,Для Бизнес-аккаунтов
Разработка гибридного Android/iOS/Web приложения на Ionic 1 Framework,"Требуется разработать приложение для торговых представителей (мерчендайзеров)
Прототип интерфейса: https://creator.ionic.io/share/35d6dcf6f9f6

Требования: https…",70 000 р.,2020-02-17,24,10,Для Бизнес-аккаунтов
